Frame,Tracking_ID,Class,X_Center,Y_Center,Width,Height
19,1719,traffic light,1004.64,367.88,25.84,74.17
19,1720,traffic light,1003.1,350.19,24.65,39.72
19,1721,person,672.68,491.94,19.61,55.89
19,1763,bicycle,829.86,560.15,43.79,62.12
19,1768,bicycle,728.36,525.52,35.06,58.68
19,1724,person,474.29,531.94,57.59,149.82
19,1712,person,513.8,546.1,47.15,142.95
19,1723,person,1153.32,530.55,25.41,93.1
19,1722,person,1252.56,520.57,28.84,79.98
20,1706,traffic light,843.2,251.57,29.41,97.2
20,1707,person,396.27,530.46,59.07,157.39
20,1708,person,285.42,546.67,53.8,136.29
20,1709,traffic light,113.16,160.81,36.28,77.13
20,1710,person,873.66,543.34,36.15,94.84
20,1711,person,1119.09,520.54,40.93,112.02
20,1713,person,1168.06,535.98,39.86,111.25
20,1714,person,716.27,509.88,26.51,85.93
20,1715,person,1048.72,525.26,43.06,102.33
20,1716,traffic light,202.98,332.66,26.63,107.44
20,1717,person,821.15,531.27,40.5,114.95
20,1719,traffic light,1004.54,367.74,25.66,73.81
20,1720,traffic light,1003.26,348.82,22.91,36.63
20,1721,person,672.0,492.45,19.22,54.8
20,1763,bicycle,830.49,560.78,43.6,61.87
20,1724,person,472.17,532.36,57.43,147.94
20,1712,person,514.31,545.75,46.03,141.12
20,1723,person,1153.68,532.13,26.82,99.3
20,1722,person,1252.66,520.67,28.99,79.4
21,1706,traffic light,843.19,251.55,29.37,97.09
21,1707,person,396.56,530.86,59.35,158.47
21,1708,person,285.56,546.86,53.99,136.77
21,1709,traffic light,113.16,160.6,36.31,76.8
21,1710,person,874.18,543.56,36.5,95.11
21,1711,person,1118.5,520.2,40.86,111.75
21,1713,person,1168.54,536.76,39.5,109.74
21,1714,person,716.51,509.59,26.81,87.17
21,1715,person,1048.51,525.0,42.86,101.95
21,1716,traffic light,202.94,332.44,26.55,107.34
21,1717,person,820.59,531.34,40.47,115.36
21,1719,traffic light,1004.62,368.04,25.85,74.41
21,1720,traffic light,1003.21,348.4,22.3,35.37
21,1721,person,671.64,492.38,19.26,55.02
21,1763,bicycle,830.95,561.04,43.66,61.94
21,1724,person,471.63,532.1,57.1,145.95
21,1712,person,514.52,545.83,46.19,142.11
21,1723,person,1153.85,531.46,27.31,102.32
21,1722,person,1252.88,520.63,29.18,79.29
21,1718,motorcycle,461.18,577.49,64.2,100.88
22,1706,traffic light,843.1,251.6,29.4,97.21
22,1707,person,396.9,531.4,59.66,159.69
22,1708,person,285.91,547.07,54.04,137.15
22,1709,traffic light,113.13,160.22,36.26,76.24
22,1710,person,875.14,543.42,36.79,95.5
22,1711,person,1118.08,520.11,40.8,111.66
22,1713,person,1168.38,536.29,39.86,110.49
22,1714,person,716.68,509.08,26.97,87.89
22,1715,person,1048.41,525.35,42.77,101.87
22,1716,traffic light,202.87,332.32,26.52,107.53
22,1717,person,820.41,531.62,40.5,115.84
22,1719,traffic light,1004.41,368.06,25.79,74.35
22,1720,traffic light,1002.96,349.98,24.49,39.05
22,1721,person,671.36,492.33,19.15,54.8
22,1763,bicycle,831.25,561.5,43.55,61.71
